word	level	pinyin	gloss
奶茶	HSK2	nǎi chá	milk tea
奶奶	HSK2	nǎi nai	(informal) grandma (paternal grandmother); (respectful) mistress of the house
那么	HSK2	nà me	like that; in that way; to that extent; (before a number) ... or so; about ...
男孩儿	HSK2	nán hái r	erhua form of 男孩[nan2 hai2]
那样	HSK2	nà yàng	that kind; that sort
鸟	HSK2	niǎo	bird; CL:隻|只[zhi1],群[qun2]
女孩儿	HSK2	nǚ hái r	erhua form of 女孩[nu : 3 hai2]
旁边	HSK2	páng biān	side; adjacent place
跑	HSK2	pǎo	to run; to run away
跑步	HSK2	pǎo bù	to run; to jog
票	HSK2	piào	ticket; ballot
前面	HSK2	qián miàn	ahead; in front
起来	HSK2	qi lai	(after a verb) indicating the beginning and continuation of an action or a state; indicating an upward move...
晴	HSK2	qíng	clear; fine (weather)
球	HSK2	qiú	ball; sphere
妻子	HSK2	qī zǐ	wife and children
让	HSK2	ràng	to yield; to permit
肉	HSK2	ròu	meat; flesh
商场	HSK2	shāng chǎng	shopping mall; shopping center
上来	HSK2	shàng lái	to come up; to approach
上面	HSK2	shàng miàn	on top of; above-mentioned
上去	HSK2	shàng qù	to go up
上网	HSK2	shàng wǎng	to go online; to connect to the Internet
生日	HSK2	shēng rì	birthday; CL:個|个[ge4]
身体	HSK2	shēn tǐ	the body; one's health
时	HSK2	shí	o'clock; time
事情	HSK2	shì qing	affair; matter; thing; business; CL:件[jian4],樁|桩[zhuang1]
手	HSK2	shǒu	hand; (formal) to hold
手表	HSK2	shǒu biǎo	wristwatch; CL:塊|块[kuai4],隻|只[zhi1],個|个[ge4]
书包	HSK2	shū bāo	schoolbag; satchel
舒服	HSK2	shū fu	comfortable; feeling well
送	HSK2	sòng	to send; to deliver; to transmit; to give (as a present)
虽然	HSK2	suī rán	although; even though (often used correlatively with 可是[ke3 shi4] or 但是[dan4 shi4] etc)
所以	HSK2	suǒ yǐ	therefore; as a result
疼	HSK2	téng	(it) hurts; sore; to love dearly
题	HSK2	tí	topic; problem for discussion
踢	HSK2	tī	to kick; to play (e.g. soccer)
条	HSK2	tiáo	strip; item
跳舞	HSK2	tiào wǔ	to dance
头	HSK2	tóu	head; hair style
外国	HSK2	wài guó	foreign country
外面	HSK2	wài miàn	outside (also pr. [wai4 mian5] for this sense); surface
完	HSK2	wán	to finish; to be over
万	HSK2	wàn	ten thousand; a great number
忘	HSK2	wàng	to forget; to overlook
往	HSK2	wǎng	to go (in a direction); to
网上	HSK2	wǎng shàng	online
位	HSK2	wèi	position; location
为什么	HSK2	wèi shén me	why?; for what reason?
洗	HSK2	xǐ	to wash; to bathe; to develop (photographs)
下来	HSK2	xià lai	to come down; (completed action marker)
下面	HSK2	xià miàn	below; under
笑	HSK2	xiào	to laugh; to smile; to laugh at
小孩儿	HSK2	xiǎo hái r	erhua variant of 小孩[xiao3 hai2]
小时候	HSK2	xiǎo shí hou	in one's childhood
下去	HSK2	xià qù	to go down; to descend
